FORMAT,UUID,MAJOR,MINOR,TIME,TIMESTAMP,TEMPERATURE,HUMIDITY,RSSI,BYTE_DATA
iBeacon,00050001-0000-1000-8000-00805F9B0131,6,35691,2018-07-25 21:05:40,1532520340898,26.6,61.87,-64,
iBeacon,00050001-0000-1000-8000-00805F9B0131,2,32878,2018-07-25 21:05:41,1532520341459,28.65,56.5,-76,
iBeacon,00050001-0000-1000-8000-00805F9B0131,6,35691,2018-07-25 21:05:43,1532520343897,26.6,61.87,-67,
iBeacon,00050001-0000-1000-8000-00805F9B0131,1,34411,2018-07-25 21:05:44,1532520344269,26.6,59.43,-67,
iBeacon,00050001-0000-1000-8000-00805F9B0131,2,32878,2018-07-25 21:05:44,1532520344748,28.65,56.5,-90,
iBeacon,00050001-0000-1000-8000-00805F9B0131,6,35691,2018-07-25 21:05:46,1532520346900,26.6,61.87,-63,
iBeacon,00050001-0000-1000-8000-00805F9B0131,2,32878,2018-07-25 21:05:48,1532520348034,28.65,56.5,-60,
iBeacon,00050001-0000-1000-8000-00805F9B0131,2,32877,2018-07-25 21:05:51,1532520351319,27.97,56.5,-61,
iBeacon,00050001-0000-1000-8000-00805F9B0131,6,35691,2018-07-25 21:05:52,1532520352902,26.6,61.87,-60,
iBeacon,00050001-0000-1000-8000-00805F9B0131,1,34411,2018-07-25 21:05:54,1532520354342,26.6,59.43,-74,
iBeacon,00050001-0000-1000-8000-00805F9B0131,2,32877,2018-07-25 21:05:54,1532520354604,27.97,56.5,-67,
iBeacon,00050001-0000-1000-8000-00805F9B0131,6,35691,2018-07-25 21:05:55,1532520355902,26.6,61.87,-76,
iBeacon,00050001-0000-1000-8000-00805F9B0131,1,34411,2018-07-25 21:05:57,1532520357696,26.6,59.43,-81,
iBeacon,00050001-0000-1000-8000-00805F9B0131,6,35691,2018-07-25 21:05:58,1532520358904,26.6,61.87,-63,
iBeacon,00050001-0000-1000-8000-00805F9B0131,1,34411,2018-07-25 21:06:01,1532520361052,26.6,59.43,-69,
iBeacon,00050001-0000-1000-8000-00805F9B0131,2,32877,2018-07-25 21:06:01,1532520361177,27.97,56.5,-60,
iBeacon,00050001-0000-1000-8000-00805F9B0131,1,34411,2018-07-25 21:06:04,1532520364406,26.6,59.43,-74,
iBeacon,00050001-0000-1000-8000-00805F9B0131,2,33133,2018-07-25 21:06:04,1532520364462,27.97,56.99,-56,
iBeacon,00050001-0000-1000-8000-00805F9B0131,6,35691,2018-07-25 21:06:04,1532520364903,26.6,61.87,-70,
